Description,Format,AddressMod,Size,Type of Instruction,Affected Flags,Example
Logical Exclusive-OR immediate with Accumulator,XRI data8,Immediate,2 bytes,Logical (XOR Immediate),All flags,XRI 32H
Complement Accumulator (bitwise NOT),CMA,Implicit,1 byte,Logical (Complement),None,CMA
Complement Carry flag (CY <- !CY),CMC,Implicit,1 byte,Logical (Complement Carry),Carry (CY),CMC
Set Carry flag (CY <- 1),STC,Implicit,1 byte,Logical (Set Carry),Carry (CY),STC
Compare register/memory with Accumulator (A - R) — affects flags only,CMP R / CMP M,Register / Register Indirect,1 byte,Logical (Compare),All flags (result not stored),CMP C
Compare immediate 8-bit with Accumulator (A - data8),CPI data8,Immediate,2 bytes,Logical (Compare Immediate),All flags,CPI 32H
"Rotate Accumulator Left (bit7 -> bit0, bit7 -> CY)",RLC,Implicit,1 byte,Rotate / Logical,Carry (CY),RLC
"Rotate Accumulator Right (bit0 -> bit7, bit0 -> CY)",RRC,Implicit,1 byte,Rotate / Logical,Carry (CY),RRC
Rotate Accumulator Left through Carry (CY and A rotate together),RAL,Implicit,1 byte,Rotate / Logical,Carry (CY),RAL
Rotate Accumulator Right through Carry (CY and A rotate together),RAR,Implicit,1 byte,Rotate / Logical,Carry (CY),RAR
Input from I/O port into Accumulator,IN port8,I/O Immediate,2 bytes,I/O,None,IN 32H
Output Accumulator to I/O port,OUT port8,I/O Immediate,2 bytes,I/O,None,OUT 56H
No operation (waste cycles),NOP,Implicit,1 byte,Machine Control,None,NOP
Halt processor until reset (stop execution),HLT,Implicit,1 byte,Machine Control,None,HLT
Unconditional jump to address,JMP addr16,Direct,3 bytes,Branching (Jump),None,JMP 2050H
Jump if Zero (Z = 1),JZ addr16,Direct,3 bytes,Branching (Conditional Jump),None (uses flags),JZ 2050H
Jump if Not Zero (Z = 0),JNZ addr16,Direct,3 bytes,Branching (Conditional Jump),None (uses flags),JNZ 2050H
Jump if Carry (CY = 1),JC addr16,Direct,3 bytes,Branching (Conditional Jump),None (uses flags),JC 2050H
Jump if No Carry (CY = 0),JNC addr16,Direct,3 bytes,Branching (Conditional Jump),None (uses flags),JNC 2050H
Jump if Positive (Sign = 0),JP addr16,Direct,3 bytes,Branching (Conditional Jump),None (uses flags),JP 2050H
Jump if Minus (Sign = 1),JM addr16,Direct,3 bytes,Branching (Conditional Jump),None (uses flags),JM 2050H
Jump if Parity Odd (P = 0),JPO addr16,Direct,3 bytes,Branching (Conditional Jump),None,JPO 2050H
Jump if Parity Even (P = 1),JPE addr16,Direct,3 bytes,Branching (Conditional Jump),None,JPE 2050H
Call subroutine (unconditional),CALL addr16,Direct,3 bytes,Branching (Call),None,CALL SUB
Conditional Call if Zero (CZ),CZ addr16,Direct,3 bytes,Branching (Conditional Call),None (uses flags),CZ 2050H
Conditional Call if Not Zero (CNZ),CNZ addr16,Direct,3 bytes,Branching (Conditional Call),None,CNZ 2050H
Return from subroutine (unconditional),RET,Implicit / Stack,1 byte,Branching (Return),None,RET
Conditional Return if Zero (RZ),RZ,Implicit / Stack,1 byte,Branching (Conditional Return),None (uses flags),RZ
Conditional Return if Not Zero (RNZ),RNZ,Implicit / Stack,1 byte,Branching (Conditional Return),None,RNZ
Restart (software interrupt) to fixed locations (0..7),RST n (0-7),Implicit,1 byte,Interrupt/Call,None,RST 5 (jump to 28H)
Read Interrupt Mask (RIM) - read interrupt status into A,RIM,Implicit,1 byte,Interrupt Control,None,RIM
Set Interrupt Mask (SIM) - set interrupt masks from A,SIM,Implicit,1 byte,Interrupt Control,None,SIM
Enable Interrupts,EI,Implicit,1 byte,Machine Control / Interrupt,None,EI
Disable Interrupts,DI,Implicit,1 byte,Machine Control / Interrupt,None,DI
