# 8085 Instruction Table — Short

> Abbreviations: Reg = Register, Imm = Immediate, Dir = Direct, Imp = Implicit, RP = Register Pair, Stk = Stack, I/O = Input/Output.  
> Flags: S, Z, AC, P, CY. "—" = none.

| Instruction | Format | Addressing Mode | Size | Type | Affected Flags | Example |
| ANA R / ANA M | Reg | Reg / RegInd(HL) | 1 | Logic(AND) | `S,Z,AC,P,CY` | `ANA B` |
| ANI data8 | Imm | Immediate | 2 | Logic(AND) | `S,Z,AC,P,CY` | `ANI 32H` |
| ORA R / ORA M | Reg | Reg / RegInd(HL) | 1 | Logic(OR) | `S,Z,AC,P,CY` | `ORA B` |
| ORI data8 | Imm | Immediate | 2 | Logic(OR) | `S,Z,AC,P,CY` | `ORI 32H` |
| XRA R / XRA M | Reg | Reg / RegInd(HL) | 1 | Logic(XOR) | `S,Z,AC,P,CY` | `XRA B` |
| XRI data8 | Imm | Immediate | 2 | Logic(XOR) | `S,Z,AC,P,CY` | `XRI 32H` |
| CMA | Imp | Imp | 1 | Logic | — | `CMA` |
| CMC | Imp | Imp | 1 | Logic | `CY` | `CMC` |
| STC | Imp | Imp | 1 | Logic | `CY` | `STC` |
| CMP R / CMP M | Reg | Reg / RegInd(HL) | 1 | Compare | `S,Z,AC,P,CY` | `CMP C` |
| CPI data8 | Imm | Immediate | 2 | Compare | `S,Z,AC,P,CY` | `CPI 32H` |
| RLC | Imp | Imp | 1 | Rotate | `CY` | `RLC` |
| RRC | Imp | Imp | 1 | Rotate | `CY` | `RRC` |
| RAL | Imp | Imp | 1 | Rotate | `CY` | `RAL` |
| RAR | Imp | Imp | 1 | Rotate | `CY` | `RAR` |
| IN port8 | I/O | I/O | 2 | I/O | — | `IN 32H` |
| OUT port8 | I/O | I/O | 2 | I/O | — | `OUT 56H` |
| NOP | Imp | Imp | 1 | Control | — | `NOP` |
| HLT | Imp | Imp | 1 | Control | — | `HLT` |
| JMP addr16 | Dir | Direct | 3 | Branch | — | `JMP 2050H` |
| JZ addr16 | Dir | Direct | 3 | Branch (Z) | — | `JZ 2050H` |
| JNZ addr16 | Dir | Direct | 3 | Branch (NZ) | — | `JNZ 2050H` |
| JC addr16 | Dir | Direct | 3 | Branch (C) | — | `JC 2050H` |
| JNC addr16 | Dir | Direct | 3 | Branch (NC) | — | `JNC 2050H` |
| JP addr16 | Dir | Direct | 3 | Branch (P) | — | `JP 2050H` |
| JM addr16 | Dir | Direct | 3 | Branch (M) | — | `JM 2050H` |
| JPO addr16 | Dir | Direct | 3 | Branch (PO) | — | `JPO 2050H` |
| JPE addr16 | Dir | Direct | 3 | Branch (PE) | — | `JPE 2050H` |
| CALL addr16 | Dir | Direct | 3 | Call | — | `CALL SUB` |
| CZ addr16 | Dir | Direct | 3 | Call (Z) | — | `CZ 2050H` |
| CNZ addr16 | Dir | Direct | 3 | Call (NZ) | — | `CNZ 2050H` |
| RET | Imp/Stk | Stack | 1 | Return | — | `RET` |
| RZ | Imp/Stk | Stack | 1 | Return (Z) | — | `RZ` |
| RNZ | Imp/Stk | Stack | 1 | Return (NZ) | — | `RNZ` |
| RST n (0–7) | Imp | Imp | 1 | Restart | — | `RST 5` |
| RIM | Imp | Imp | 1 | Interrupt Ctrl | — | `RIM` |
| SIM | Imp | Imp | 1 | Interrupt Ctrl | — | `SIM` |
| EI | Imp | Imp | 1 | Interrupt | — | `EI` |
| DI | Imp | Imp | 1 | Interrupt | — | `DI` |
